"contentPlain","基因与核酸","细胞核的结构与功能","蛋白质的结构与功能","脂质的结构与功能","细胞壁结构与功能","细胞基础理论","细胞化学组成基础","生命系统层次理论","实验方法与技术","糖类的结构与功能","细胞渗透与物质运输","细胞的生命历程","细胞器结构与功能","物质运输方式","生物膜系统功能","显微镜使用与成像","酶的作用机制","光合作用机制","ATP与能量代谢","细胞呼吸机制","光合色素与光能捕获","叶绿体结构与功能","能量代谢过程","细胞增殖与分裂","细胞代谢调控","生物学史"
"核纤层普遍存在于高等真核细胞中，由特殊的纤维丝状蛋白组成。它位于内层核膜与染色质之间，核纤层蛋白向外与内层核膜上的蛋白结合，向内与染色质的特定区段结合，如图所示。核纤层能维持细胞核正常的形状与大小，有利于细胞核与细胞质之间的隔离与信息交换。下列有关叙述错误的是（）A．该模式图以图画形式表现出部分特征，属于物理模型  B．通过结构①实现核质之间频繁的物质交换和信息交流  C．图中结构②与某种DNA的合成以及核糖体的形成有关  D．若将核纤层破坏，则细胞核的形态和功能均会发生改变","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"阅读下列材料，完成下面小题。中国茶叶品种很多，不同品种茶叶的制作方式有所不同。把采下的茶叶立即焙火杀青可制得绿茶；把采下的茶叶进行脱水凋萎，揉捻，茶叶细胞可释放多酚氧化酶催化无色的多酚类物质生成褐色的醌类物质，从而制得红茶。1．下列关于多酚氧化酶的叙述，错误的是（）A．多酚氧化酶为多酚类物质生成褐色的醌类物质提供活化能  B．多酚氧化酶和多酚类物质特异性结合体现了酶的催化具有专一性  C．揉捻可有效破坏生物膜系统，让酶得以充分发挥作用  D．焙火杀青可使多酚氧化酶高温变性失活，从而保持茶叶的绿色  2．为探究多酚氧化酶发挥作用的适宜条件，研究人员设计了以下实验。步骤  处理  A组  B组  C组  D组  E组  F组  ①  设置水浴箱温度  0℃  10℃  20℃  30℃  40℃  50℃  ②  取6支试管加入多酚类物质，分别保温5 min  10 mL  10 mL  10 mL  10 mL  10 mL  10 mL  ③  另取6支试管加入多酚氧化酶1 mL  1 mL  1 mL  1 mL  1 mL  1 mL    ④  溶液，分别保温5 min将各组的多酚类物质和酶溶液充分混匀后再分别置于相应温度的水浴中  ⑤  观察实验结果  ？  下列关于该实验的叙述，错误的是（）A．本实验探究的是多酚氧化酶发挥作用的适宜温度  B．pH为无关变量，其设置情况会影响实验结果  C．检测指标可以是一定时间后试管中溶液颜色的深浅  D．若A组没有出现颜色变化，说明酶已经失活","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"叶片中的色素对植物的生长发育有重要作用。下图是某植物叶片中光合色素分离的结果，下列叙述错误的是（）A．条带1呈橙黄色  B．条带4所含色素在层析液中的溶解度最高  C．若缺少第3、4条带，可能原因是研磨时没有加CaCO  3  D．若四条色素带的颜色均偏浅，可能原因是研磨时没有加SiO  2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"冬眠的棕熊体内既作为能量储备，又能形成抵抗低温的保温层的物质是（）A．糖原  B．胆固醇  C．脂肪  D．蛋白质","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"酶促反应的速率会受到多种因素的影响。如图所示，X轴表示相应的探究因素，在其他条件适宜的情况下，酶促反应速率的变化。下列相关叙述错误的是（）A．曲线MNQ中若X轴表示pH，则酶制品适宜在N点对应的pH下保存  B．曲线MNQ中若X轴表示温度，则酶的空间结构在M点比Q点破坏更严重  C．曲线MNP中若X轴表示反应物浓度，M点时温度略升高，则曲线上升幅度变小  D．曲线MNP中若X轴表示反应物浓度，N点时加入少量的酶，则反应速率会适当加快","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"植物细胞的液泡中含有多种酸性水解酶，它们能分解细胞内的蛋白质、核酸、脂质及多糖等物质。因此，液泡类似于动物细胞中的（）A．内质网  B．溶酶体  C．中心体  D．高尔基体","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"组成细胞的元素大多以化合物的形式存在，下列化合物中含元素种类最少的一组是（）A．性激素和ATP  B．磷脂和脂肪  C．葡萄糖和淀粉  D．DNA和纤维素","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"2024年诺贝尔化学奖由三位科学家共享，他们用AI破译了蛋白质的结构“密码”，能够预测蛋白质结构并设计全新蛋白质。下列关于蛋白质的叙述，错误的是（）A．必需氨基酸可以在人体细胞中合成  B．组成不同蛋白质的氨基酸种类可能相同  C．许多蛋白质分子都含有两条或多条肽链  D．蛋白质都有与它所承担功能相适应的独特空间结构","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"人体内的胆固醇以低密度脂蛋白（LDL）的形式在血液中运输，某种LDL的结构如图所示。LDL可与细胞膜上的受体结合成LDL-受体复合物进入细胞。下列相关叙述错误的是（）A．胆固醇的元素组成为C、H、O、N、P  B．胆固醇是构成动物细胞膜的重要成分  C．细胞膜与图中LDL的磷脂排列不同  D．LDL通过胞吞的方式进入细胞内部","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"某校生物兴趣小组采集李村河水样，制作临时装片，进行显微镜观察，图像如下。下列说法错误的是（）A．实验过程中临时装片要随时保持有水状态  B．视野1转换成视野2前，应向左移动装片  C．视野1转换成视野2后，可通过调节细准焦螺旋使物像清晰  D．视野1转换成视野2后，可观察到衣藻叶绿体的双层膜结构","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ATP是细胞中的直接能源物质，其结构如图所示。下列说法错误的是（）A．ATP能参与RNA的合成  B．γ位磷酸基团具有较高的转移势能  C．正常细胞ATP和ADP的相互转化处于动态平衡中  D．许多放能反应与ATP水解的反应相联系","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"细胞学说的提出对生物学的发展具有重要意义。下列有关细胞学说的叙述，正确的是（）A．揭示了生物的多样性  B．将细胞划分为真核细胞和原核细胞  C．标志着生物学研究进入分子水平  D．认为所有生物都是由一个或多个细胞组成","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"四川省绵阳市现有野生大熊猫的数量达四百多只，位居全国第一，被誉为“大熊猫第一市”。下列相关叙述正确的是（）A．大熊猫的生长发育以细胞增殖、分化为基础  B．大熊猫的每个细胞都能单独完成各项生命活动  C．在一定区域内，所有的大熊猫和它们所生活的无机环境形成群落  D．保护大熊猫，应从生命系统结构层次中的DNA这一层次展开研究","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"婴儿的肠道上皮细胞可以吸收母乳中的抗体，下列关于此过程的叙述，正确的是（ ）A．此过程与细胞膜上的蛋白质无关  B．此过程不需要消耗ATP  C．此过程与变形虫摄取有机物颗粒的方式不同  D．此过程体现了细胞膜的结构特点","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"如图是某核苷酸链的片段示意图，下列相关说法错误的是（）A．图中核苷酸的种类由五碳糖种类决定  B．DNA分子中的核苷酸序列储存着遗传信息  C．图中的4只能作为组成DNA的单体，而不是RNA的单体  D．核酸分子的多样性与核苷酸的数量和排列顺序均有关","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"多糖是生物大分子，其基本骨架是（　　）A．肽链  B．碳链  C．核苷酸链  D．脂肪酸链","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图表示物质进出细胞的方式是（）A．胞吞  B．胞吐  C．协助扩散  D．主动运输","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"下图为人体细胞的分裂、分化、衰老和凋亡过程的示意图，图中①~⑥为各个时期的细胞，a~c表示细胞所进行的生理过程。据图分析，下列叙述错误的是（　　）A．b表示的生理过程将伴随人的一生，时刻在体内进行  B．①~⑥细胞的遗传物质都相同，蛋白质的种类也相同  C．①→⑤、⑥过程中，基因选择性表达使细胞全能性降低  D．人体每天都有新细胞产生，同时也有细胞衰老和凋亡","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图为组成蛋白质的氨基酸分子结构通式，不同种类的氨基酸都具有的元素有（）A．C、H、O、K  B．C、O、N、P  C．C、H、O、N  D．C、H、O、P","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下图表示ATP与ADP相互转化的过程。下列叙述正确的是（）A．ATP只分布在细胞质中  B．过程①中的能量可来自光能  C．过程②往往与许多放能反应相联系  D．人体剧烈运动时过程②速度大于过程①","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"乳汁中富含乳清蛋白，为分析乳清蛋白合成过程中肽链的延伸方向，研究人员用3H标记的亮氨酸配制动物细胞培养液，然后分离出乳清蛋白肽链，再用蛋白酶处理该肽链，检测获得的6种肽段中3H的相对掺入量结果如图所示。下列叙述错误的是（）A．用蛋白酶处理乳清蛋白肽链时一定会消耗水  B．亮氨酸被  3  H标记的部位是—COOH中的H  C．放射性在细胞中依次出现在核糖体、内质网和高尔基体等细胞器上  D．靠近N端的肽段上  3  H相对掺入量低，推测肽链从N端开始合成","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"嫩肉粉中具有对肌肉组织的有机物进行分解的酶，使炒的瘦肉片口感鲜嫩。推测嫩肉粉中起分解作用的酶主要是（）A．果胶酶  B．蛋白酶  C．核酸酶  D．脂肪酶","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"花生子叶、食用油中富含脂肪，下列可用于鉴定脂肪的试剂是（）A．双缩脲试剂  B．斐林试剂  C．健那绿染液  D．苏丹Ⅲ染液","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"某品牌饼干主要配料为小麦粉，无甜味，其广告语为“无糖饼干，适合糖尿病患者食用”。下列叙述错误的是（）A．根据结构的不同，糖类一般分为单糖、二糖和多糖  B．小麦粉的主要成分为淀粉，淀粉是一类没有甜味的多糖  C．“无糖”饼干通常指的是不含蔗糖，蔗糖是一种还原糖  D．广告语存在误导，糖尿病患者应谨慎食用该品牌饼干","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"叶绿体是一种动态的细胞器，随着光照强度的变化，在细胞中的分布和位置也会发生相应改变，称为叶绿体定位。叶绿体中的CHUP1蛋白能与肌动蛋白（构成细胞骨架中微丝蛋白的重要成分）相结合，实现叶绿体定位，用野生型拟南芥和CHUP1蛋白缺失型拟南芥进行实验，观察到在不同光照强度下叶肉细胞中叶绿体的分布情况如图。下列叙述错误的是（）A．由图结果推测，叶绿体是通过CHUP1蛋白锚定在微丝蛋白上，因而CHUP1蛋白应该位于叶绿体的内膜上  B．叶绿体中光合色素可吸收、传递和转化光能，并将吸收的能量储存在ATP和NADPH中  C．若破坏细胞微丝蛋白后叶绿体定位异常，推测微丝蛋白可能与叶绿体的运动有关  D．弱光条件下正常叶肉细胞中的叶绿体汇集到细胞顶面，有利于叶肉细胞更充分地吸收光能","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"细胞内的水可分为自由水和结合水，下列有关水的描述错误的是（）A．因为水分子的空间结构及电子的不对称分布，使得水分子成为一个极性分子  B．对于生活在干旱地区的生物来说，其细胞内的结合水含量高于自由水  C．带有正电荷及负电荷的分子（或离子）都容易与水结合，因此水是良好溶剂  D．因为氢键不断地断裂，又不断地形成，使水在常温下能够维持液体状态","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"蛋白水解酶分为内切酶和外切酶2种，外切酶专门作用于肽链末端的肽键，内切酶则作用于肽链内部特定区域，若蛋白酶1作用于苯丙氨酸（C9H11NO2）两侧的肽键，蛋白酶2作用于赖氨酸（C6H14N2O2）氨基端的肽键。某四十九肽经酶1和酶2作用后的情况如图所示。下列叙述错误的是（）A．若用蛋白外切酶处理该多肽，会得到49个氨基酸  B．该四十九肽有3个苯丙氨酸、3个赖氨酸，且第48位是赖氨酸  C．经加热、X射线、强酸、强碱、重金属盐等的作用，会引起蛋白质的变性  D．该四十九肽单独经酶1、酶2作用分别需要消耗5个H  2  O和3个H  2  O","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"在某水域的某一水深处取样，将水样分成三等份，一份直接测定O2含量（m1）记为初始值；另两份分别装入不透光的玻璃瓶（甲）和透光的玻璃瓶（乙）中，密闭后放回取样处，若干小时后测定甲瓶中的O2含量（m2）和乙瓶中的O2含量（m3）。假设水样中只有绿色植物且呼吸作用强度相同，下列叙述正确的是（）A．在有初始值的情况下，甲瓶中氧气的减少量表示绿色植物无氧呼吸消耗O  2  的量  B．在有初始值的情况下，乙瓶中氧气的增加量表示绿色植物总光合作用产生O  2  的量  C．在没有初始值的情况下，m  3  与m  2  的和表示绿色植物净光合作用释放O  2  的量  D．在没有初始值的情况下，m  3  与m  2  的差表示绿色植物总光合作用产生O  2  的量","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
"蓝细菌的光合作用过程需要较高浓度CO2，长期进化过程中，蓝细菌形成的CO2浓缩机制如图所示。R酶除了固定CO2之外，还能催化O2与C5结合形成C3和C2，O2和CO2竞争性结合R酶的同一位点。下列说法正确的是（）A．蓝细菌的R酶存在于叶绿体基质的羧化体中  B．蓝细菌固定CO  2  时，O  2  仍能与R酶结合  C．  HCO_3  转运蛋白基因表达减少，利于有机物积累  D．由图可知，CO  2  通过光合片层膜运输的方式并不是自由扩散","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"下图为光合作用示意图。下列说法错误的是（）A．当光照强度较大时，物质①可提供给线粒体利用和释放到细胞外  B．物质②中可储存活跃的化学能  C．物质③可作为活泼的还原剂，同时也储存部分能量供暗反应阶段利用  D．水的光解过程发生在叶绿体内膜上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"某生物兴趣小组为了探究光合色素的种类及其功能，对绿叶中的色素进行了提取和分离，所得结果如图所示。下列相关叙述正确的是（）A．对绿叶充分研磨之后需要用干燥滤纸进行过滤  B．色素丁在层析液中的溶解度最高  C．甲和乙主要吸收红外光和蓝紫光  D．乙为叶绿素b，是细胞中含量最多的色素","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"下列与细胞生命活动有关的叙述，错误的是（）A．细胞会随着分裂次数的增多而衰老  B．有些激烈的细胞自噬，可能诱导细胞凋亡  C．人在胚胎发育过程中，尾的消失是通过细胞程序性死亡实现的  D．一般来说，动物细胞全能性比植物细胞更大","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"在离体叶绿体的悬浮液中加入铁盐或其他氧化剂（悬浮液中有H2O，没有CO2），光照条件下可以释放出O2，该反应称为希尔反应。下列说法正确的是（）A．希尔反应说明植物产生的O  2  中的氧元素全部来自水  B．希尔反应悬浮液中铁盐的作用与NADPH的作用相似  C．希尔反应支持细胞是生命活动的基本单位  D．希尔反应说明光合作用中水的光解与糖的合成不是同一化学反应","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"下列关于用化学试剂检测生物组织中的糖类、脂肪和蛋白质的叙述，正确的是（）A．检测植物组织中的还原糖时，若无还原糖则显示无色  B．利用斐林试剂甲液、乙液和蒸馏水，可以检测蛋白质  C．检测蛋白质时，鸡蛋清不稀释会使蛋白质的浓度更高，实验现象更明显  D．检测蛋白质时，先加双缩脲试剂A液1mL,无须摇匀即可再加B液4滴","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"在植物组织培养中，胡萝卜根韧皮部的细胞可以发育为一个完整植株，这体现了植物细胞具有（）A．统一性  B．多样性  C．变异性  D．全能性","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列日常生活中的做法，没有依据细胞呼吸原理的是（）A．包扎伤口选用透气的创可贴  B．在密闭条件下利用葡萄酿酒  C．真空包装食品以延长保质期  D．用熟石灰改良农田土壤酸碱度","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"下列有关细胞分化的叙述，正确的是（）A．细胞分化增加了细胞种类  B．细胞分化过程中遗传物质发生改变  C．细胞分化只发生在胚胎期  D．个体发育中细胞分化一般是可逆的","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"幽门螺杆菌是一类寄生于人体胃幽门处的病原体，通过电子显微镜观察其细胞结构，可以确定幽门螺杆菌是原核生物。做出该判断的主要依据是（）A．有细胞质膜  B．有核糖体  C．无叶绿体  D．无核膜","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"真核细胞分裂过程中不出现染色体和纺锤体的分裂方式为（）A．有丝分裂  B．无丝分裂  C．减数分裂  D．有丝分裂和无丝分裂","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"下图是唾液淀粉酶合成和加工的部分过程，SRP为信号肽识别颗粒，DP是SRP受体，GTP的结构简式为：G—P～P～P。下列说法错误的是（）A．图中信号肽序列是由唾液淀粉酶基因编码的  B．图中核糖体亚基和SRP可以循环使用  C．信号肽会引导唾液淀粉酶前体转移到高尔基体加工  D．SRP和DP结合的过程需要消耗细胞代谢产生的能量","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"细胞骨架维持着细胞特有形态和细胞内部结构的有序性。细胞骨架的化学成分是（）A．蛋白质  B．纤维素  C．磷脂  D．碳链","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"各种细胞器在功能上既有分工又有合作。下列叙述错误的是（　　）A．植物细胞中充盈的液泡可以使植物细胞保持坚挺  B．中心体和细胞的有丝分裂有关  C．溶酶体能合成多种水解酶，水解酶能分解衰老、损伤的细胞器  D．叶绿体、线粒体与细胞内物质和能量的转化有关","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列物质中通过自由扩散进出细胞的是（）A．氨基酸  B． O  2  C．K  +  D．葡萄糖","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"叶绿体是光合作用的场所。下图为叶绿体的结构模式图，其中暗反应发生在（）A．外膜  B．内膜  C．类囊体  D．叶绿体基质","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"人体内的抗体是蛋白质，可以帮助人体抵御病菌和病毒等抗原的侵害，这类蛋白质的生理功能是（）A．运输  B．调节  C．催化  D．免疫","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"衰老是生物界的普遍现象，细胞衰老过程中其形态、结构、功能都会发生变化。下列属于细胞衰老特征的是（）A．细胞分裂能力增加  B．细胞内所有酶的活性上升  C．细胞内色素逐渐减少  D．细胞代谢速率减慢","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"在动物细胞中，含有多种酸性水解酶，能清除进入细胞内病原体的细胞器是（）A．内质网  B．高尔基体  C．中心体  D．溶酶体","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"红松和人参均为我国北方地区的植物。如图为两种植物在温度、水分均适宜的条件下，光合作用速率与呼吸速率的比值(P/R)随光照强度变化的曲线图。下列叙述正确的是（　　）A．光照强度为a时，红松叶肉细胞产生ATP的场所是细胞质基质、线粒体、叶绿体  B．光照强度大于b时，限制红松P/R值增大的主要外界因素是CO  2  浓度  C．光照强度为c时，红松和人参的净光合速率相等  D．光照强度为a时，每日光照12小时，一昼夜后人参干重不变，红松干重减少","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
"培养瓶中正常生长的小球藻，照光培养一段时间后，用黑布迅速将培养瓶罩上，此后小球藻叶绿体中短时间内不会发生的现象是（）A． O  2  的产生停止  B． CO  2  的固定加快  C．ATP/ADP比值下降  D．  C_3  含量升高","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"采用新鲜菠菜叶开展“绿叶中色素的提取和分离”实验，下列叙述错误的是（）A．提取色素时可用无水乙醇作为溶剂  B．研磨时添加SiO  2  有助于色素提取  C．画滤液细线应画粗些且画一次即可  D．层析时滤液细线不能触及层析液","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"研究发现，胎盘的某种细胞内含有某些特定的蛋白质，使得这种细胞能够在心肌病变时直接迁移到受损的部位，再生形成健康心肌细胞进行修复。下列有关叙述错误的是（　　）A．该种细胞再生形成健康心肌细胞的过程中，蛋白质的种类和数量会发生改变  B．迁移到受损部位的该种细胞不会发生细胞的程序性死亡  C．该种细胞迁移到受损部位的过程与细胞骨架有关  D．再生形成的健康心肌细胞中遗传信息不会发生改变","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ca2+—ATP酶也称钙泵，能催化质膜内侧的ATP水解、释放的能量驱动细胞内的Ca2+泵出细胞，以维持细胞内Ca2+的低浓度状态。下列相关叙述错误的是（　　）A．钙泵能够降低化学反应的活化能  B．温度可以影响钙泵转运Ca  2+  的速率  C．钙泵将Ca  2+  泵出细胞的方式属于主动运输  D．钙泵通过去磷酸化将Ca  2+  泵出细胞","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0"
"下列关于生物实验的叙述，正确的是（）A．利用紫色洋葱鳞片叶外表皮进行质壁分离实验，必须用高倍镜观察细胞状态  B．检测苹果汁中的还原糖，加入斐林试剂后摇匀，溶液即可出现砖红色沉淀  C．在探究酵母菌细胞呼吸方式的实验中，用酸性重铬酸钾检验无氧呼吸产生的酒精  D．观察细胞中的染色体，可用氢氧化钠、甲紫、改良苯酚品红溶液等碱性染料染色","0","0","1","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"采集某湿地水样进行显微观察，看到衣藻、草履虫若干，下图是在光学显微镜下分别用低倍镜和高倍镜观察到的不同视野，下列叙述正确的是（）A．换成高倍镜后，可以清晰观察到衣藻的核糖体`  B．换成高倍镜后，可调节细准焦螺旋使物像清晰  C．将视野1换成视野2之前，需先向右上角移动装片  D．将视野1换成视野2之后，显微镜下视野会变亮","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"下图表示最适温度、最适pH等条件下，淀粉浓度对淀粉酶催化淀粉水解反应速率的影响。下列叙述错误的是（）A．AB段限制反应速率的因素是淀粉浓度  B．若在A点时温度升高10℃，曲线将下移  C．若在B点时加入适量淀粉酶，曲线将上移  D．BC段反应速率不再增加，说明此时酶被分解消耗完","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"下列关于“观察植物根尖细胞有丝分裂”实验的叙述，正确的是（）A．培养洋葱根尖时，需将洋葱完全浸没在水中  B．装片制作的步骤是：解离→染色→漂洗→压片  C．解离液是盐酸和酒精的混合液，解离有助于细胞分离  D．观察时先用高倍镜找到处于细胞分裂期较多的部位","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"下列材料适合用于“用高倍显微镜观察叶绿体和细胞质的流动”实验的是（）A．蓝藻  B．黑藻  C．洋葱鳞片叶  D．大蒜根尖","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"水是生命之源，下列关于细胞中水的叙述错误的是（）A．结合水是细胞结构的重要成分  B．水通常是活细胞含量最多的化合物  C．自由水是细胞中良好的溶剂  D．代谢旺盛的细胞中结合水含量较高","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列元素中参与构成叶绿素的是（）A．Mg  B．Fe  C．P  D．Ca","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ATP通常是细胞生命活动的直接能源物质，ATP的结构简式是（）A．A—P—P～P  B．A～P～P—P  C．A—P～P～P  D．A～P～P～P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"核酸包括脱氧核糖核酸（DNA）和核糖核酸（RNA）两大类。大熊猫肌细胞的核酸中，含有碱基T的核苷酸有（）A．1种  B．2种  C．4种  D．8种","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"光合作用中释放的氧气来源于（）A．水  B．二氧化碳  C．葡萄糖  D．叶绿素","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"研究人员将相同的洋葱鳞片叶外表皮细胞分别置于一定浓度的足量蔗糖溶液和KNO3溶液中，测得原生质体（除细胞壁以外的细胞结构）的体积随时间的变化，结果如下图所示。下列叙述正确的是（）A．曲线①可表示蔗糖溶液中原生质体体积的变化  B．若用甘油溶液，原生质体体积变化可与①或②相似  C．曲线①b时刻的细胞液浓度与初始细胞液浓度相同  D．原生质体的体积达到x不再变化，表明细胞已死亡","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"一般运动饮料中水分的含量为90%左右，糖分的含量为8~2%左右，无机盐的含量为1.6%左右，维生素的含量为0.2%左右。这些成分与人体体液相似，饮用后能更迅速地被身体吸收。下列叙述错误的是（　　）A．糖类是重要的能源物质，多糖是生物体内糖类的主要存在形式  B．饮料中蔗糖与斐林试剂发生作用，生成砖红色沉淀  C．运动大量出汗导致Na  +  流失过多，神经细胞的兴奋性降低，引起肌肉酸痛、无力等  D．运动饮料给身体补充水分，水是细胞内含量最多的化合物","0","0","1","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"下列有关组成生物体的元素和化合物的叙述，不正确的是（　　）A．DNA、RNA和磷脂的元素组成种类均相同  B．脂肪、胆固醇、淀粉、纤维素的组成元素均为C、H、O三种  C．细胞中的自由水是细胞结构的重要组成部分  D．载体蛋白的作用特异性与其氨基酸排列顺序及其空间结构有关","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
